year,territory,quality,num_subordinates,num_fledglings,size
0,1,5.047,0,0,95
0,3,9.3,0,1,174
0,4,7.5,0,0,159
0,5,7.1,0,0,133
1,1,5.25,0,0,99
1,3,9.195,0,1,172
1,4,7.445,0,1,158
1,5,7.055,0,0,132
2,1,5.156,0,0,97
2,3,9.234,1,2,173
2,4,7.445,0,1,158
2,5,7.11,0,1,133
3,1,5.258,0,1,99
3,3,9.25,3,4,173
3,4,7.5,1,2,159
3,5,6.938,1,1,130
4,1,5.11,1,1,96
4,3,9.14,7,6,171
4,4,7.594,2,2,161
4,5,7.1,2,1,133
5,1,5.15,0,1,97
5,3,9.2,4,4,172
5,4,7.484,3,3,159
5,5,7.11,3,1,133
6,1,5.188,1,1,98
6,4,7.6,6,6,161
6,5,7.164,4,1,134
7,1,5.3,1,1,100
7,4,7.5,1,1,159
7,5,7.047,3,1,132
7,7,9.09,0,1,170
8,1,5.25,1,1,99
8,4,7.547,2,2,160
8,5,6.945,4,1,130
8,7,9.2,1,1,172
9,1,4.984,1,1,94
9,4,7.75,2,2,164
9,5,7.164,3,1,134
9,7,9.05,2,2,169
10,1,5.07,0,1,96
10,4,7.47,4,2,158
10,5,7.11,0,1,133
10,7,9.3,4,3,174
